,userid
599,307181486
600,42695514
601,202620479
602,10302000
603,40080833
604,50131557
605,273021336
607,202465473
608,70327507
609,42380987
610,262752300
613,55367062
614,88493668
616,209917929
617,167194020
620,113260911
621,308220794
622,81054122
623,115192877
624,197406178
628,33013552
630,8585433
631,106980036
633,96400571
634,120237789
635,91729217
637,103445207
638,113196318
640,115996656
641,204401529
644,63441290
647,42681063
648,42005897
649,42099265
650,195147702
652,213231597
654,178964139
656,11970504
657,286926470
659,50095094
660,51822361
661,43160799
663,77665527
666,127850470
670,92393218
671,92484390
675,26729643
677,262430736
679,17995238
680,74521316
684,11731710
685,139573198
686,79073449
687,129081996
688,223858723
689,248549548
690,70967454
692,181608676
696,30912860
697,194196780
698,108595389
699,124437057
700,166149095
703,133268317
704,206346171
708,14126086
715,156271246
717,131444737
719,219466457
721,80351692
724,93189271
726,190708114
728,122940861
730,230572014
732,175026514
734,131348564
736,133228469
737,65173746
738,79211079
741,61779218
743,155071993
745,53509003
746,298242221
747,95699780
749,33659046
752,203800963
754,133422169
756,118554131
757,139695479
764,156965566
767,211454678
768,245863248
770,165101762
772,66950079
773,191637518
775,53097340
778,100519466
779,65716118
780,136021775
781,44866715
782,52907921
783,1950243
784,202586207
786,117531196
788,170267441
789,49050405
790,133517515
791,16645459
792,65754991
794,90272527
795,133404545
796,244445520
797,65342306
800,233558010
805,103848468
808,3449240
809,20207081
810,30440303
812,14216099
817,96014467
818,190502181
821,66438889
822,59157389
823,87740709
824,182961604
825,61614735
826,106986812
827,141160698
828,234749963
829,168641975
831,86912006
832,163140792
836,107377573
838,24366790
841,113300324
843,127072755
844,218918267
845,159152280
846,158363887
847,224943279
848,32467994
849,139673932
855,107124497
856,68685708
857,202140438
860,163162333
861,201265166
862,75240572
864,73195149
865,115632831
866,155919035
867,207817208
868,88579585
869,10450544
871,68672269
875,156506614
876,2083767
877,95531306
878,55906572
879,41559627
880,159484357
881,27279261
884,122026623
885,35864169
886,54291917
887,76170931
890,22627659
891,158260880
893,156002832
894,165755355
895,49624770
896,135338821
897,156639838
898,115637271
900,162748673
901,73564778
904,215831986
905,209871270
906,65244880
907,17497581
908,106796307
910,72996988
913,174709157
916,58905429
917,115784259
918,61070572
919,37766583
921,95279056
925,146022542
926,50811344
928,167985276
931,91952768
932,151129695
933,105243827
934,164318687
935,167901416
937,86041729
939,284019534
940,41887439
942,77980915
944,50229934
947,242781058
948,68224834
949,61676491
951,76451157
955,78332414
959,135400225
961,247042500
964,71335402
965,162288536
969,168324795
970,140408017
971,124443679
972,143343409
975,84471496
982,137460095
983,55426012
985,21061921
986,92663477
987,16081636
988,6717871
990,105384518
991,126200826
994,159677499
996,161632739
999,27171538
1002,69009454
1004,66650717
1005,75368808
1011,157275758
1016,149810726
1019,26808868
1022,8949216
1023,117370965
1026,57368001
1027,135865220
1029,33622085
1030,11794760
1031,1936551
1036,78341587
1039,115806772
1040,259648553
1043,34177747
1046,225289523
1047,12130111
1049,203387556
1051,80022321
1052,62858973
1053,38049880
1054,180753437
1056,35701646
1057,82385352
1066,260265776
1072,198346312
1073,170491009
1074,101878879
1075,58345543
1079,73495968
1081,101596530
1082,98848653
1084,81160212
1086,115918955
1095,71777065
1100,11403772
1104,205014771
1117,283922576
1120,127311699
1122,47384202
1124,70778973
1127,975449
1130,235692659
1145,185075395
1149,264626784
1150,34901647
1154,60611062
1155,116876958
1168,117488479
1171,213775315
1172,83681553
1173,148362155
1179,64319625
1186,164761364
1188,10218563
1189,69953893
1190,201737586
1191,561758
1195,72613527
1196,60608576
1203,80494893
1204,81439192
1206,96556535
1207,134322141
1214,161623464
1221,243020996
1222,110478743
1223,196595568
1224,142750305
1227,177827103
1228,53091150
1230,66078954
1232,147602462
1234,78799565
1235,182220992
1239,151600301
1242,60859695
1243,94229851
1248,294715521
1252,290367158
1253,161220142
1255,135879753
1260,50700418
1261,19085114
1266,164475918
1267,75465639
1268,291293152
1269,82174211
1274,112110682
1275,158469748
1276,130324181
1278,96674526
1280,81585721
1281,167752146
1282,174907851
1286,142793906
1289,55457113
1290,88248085
1291,105725769
1292,98561727
1295,154230933
1297,126595775
1303,164271888
1304,82046939
1305,162214363
1307,129211317
1308,9823354
1309,50744279
1315,211419882
1318,748719
1319,212207315
1320,103804924
1321,170172944
1330,163281091
1333,39322716
1335,93054621
1336,232477991
1337,274422668
1338,160299889
1347,9180659
1349,246456527
1350,160883669
1358,138135171
1359,32102983
1360,49228258
1364,159994178
1366,189123038
1367,137846274
1370,59662830
1371,30061970
1372,124400480
1376,99171164
1381,151229648
1384,188394070
1386,68719896
1389,96914675
1392,82203951
1400,173394554
1401,185467694
1402,124234882
1403,63615483
1406,151234988
1407,46301758
1410,154730370
1412,171691017
1415,166604341
1416,130460859
1420,101725007
1423,109669093
1425,111130695
1426,105782521
1428,164059206
1431,129501816
1434,171252939
1438,72989129
1443,220602833
1444,149424772
1445,17017968
1446,132418423
1447,133997970
1448,216047087
1449,190022459
1453,175150816
1456,77565315
1457,24632218
1462,62811725
1463,133439936
1464,104870123
1466,92173524
1473,113312586
1474,254928785
1475,179394166
1479,170474212
1480,192848461
1487,101530848
1491,122551425
1492,127272741
1495,191576449
1496,150033540
1497,100993239
1499,175918089
1502,56436989
1504,59825286
1506,94708312
1510,163361275
1517,106760673
1521,97614578
1523,116912767
1526,119619506
1528,55975168
1529,110658990
1530,37723786
1532,89005236
1551,136866564
1554,87341384
1558,243429504
1560,231029951
1564,159365538
1569,154123088
1578,26465134
1586,143222174
1587,142775542
1588,101142088
1591,206908028
1594,161991221
1597,165239864
1602,14544587
1606,102552233
1610,153823616
1618,174633348
1619,94299484
1620,163432200
1637,86256882
1647,49342564
1648,42771635
1651,38465050
1655,46785501
1659,85210874
1660,105445346
1663,76892907
1664,64023574
1665,186452037
1668,85497862
1675,190675881
1678,65935023
1687,58431944
1689,72417734
1695,50818751
1697,253813925
1699,58297398
1700,198561746
1701,45592640
1705,41883322
1718,239511574
1731,47291376
1734,142650116
1735,105877396
1741,73835640
1744,50769696
1751,33865373
1755,76296787
1756,120523185
1768,123696203
1771,178003047
1772,96167505
1774,65350586
1775,197550099
1776,80511960
1784,63276972
1790,7431946
1800,135503830
1805,195607832
1808,200673341
1810,48386574
1813,166669789
1821,104727643
1825,86481908
1832,36502549
1833,111212436
1837,95181268
1838,128651888
1843,92612763
1845,108160472
1851,196609297
1855,81943620
1858,96696864
1861,33778112
1865,59332369
1868,112345616
1869,113224251
1870,121523105
1874,141497944
1878,273082868
1883,132757318
1884,161339015
1888,101602586
1892,20200395
1893,60217594
1894,87907200
1895,96204317
1900,33214968
1904,122798021
1907,45411694
1908,127344335
1909,88603472
1910,127992087
1911,107913460
1918,231808839
1920,128956830
1922,117601858
1926,46021731
1927,135911271
1930,170201716
1931,90104676
1932,148476467
1933,63098418
1940,208821410
1946,79243080
1953,30425578
1954,85366890
1955,45094639
1957,60296891
1958,79715089
1961,130369238
1962,80250756
1963,64261708
1965,184987922
1969,49380630
1970,121497634
1972,128034621
1978,181254402
1979,194071007
1982,37827989
1983,106147454
1985,131032344
1986,23492094
1989,137508279
1991,81139130
1996,92914917
2000,56038151
2004,150909485
2006,127788996
2007,194670621
2009,297510921
2012,66615366
2015,95325409
2022,1612666
2026,84432612
2038,136563996
2039,161366228
2040,134641355
2042,31727716
2043,250006052
2045,155673786
2051,165851788
2055,91807066
2058,68240622
2060,202843172
2063,70180527
2065,72293974
2066,125472731
2068,80117330
2072,175831055
2075,70398582
2077,170377069
2079,65117175
2089,68704183
2091,94234855
2093,245570449
2101,164183599
2103,156818121
2104,197652539
2105,75064242
2111,90711776
2116,169937489
2123,188949150
2124,100431715
2129,128019521
2130,111163130
2133,37829487
2135,44010163
2136,126345126
2140,122117051
2141,109205612
2144,172381385
2148,112199961
2149,119365702
2150,253218347
2154,247313879
2155,103624897
2160,77127388
2163,232879561
2164,100769089
2170,123974970
2174,54826284
2175,11813637
2177,18109027
2180,62633395
2186,145243748
2189,29239329
2190,34582304
2193,125017535
2194,65909415
2195,86866292
2196,167524538
2198,71510748
2205,59005471
2212,65064340
2213,204480696
2217,93275329
2218,156675178
2221,6928806
2223,93300963
2225,123625432
2234,173434036
2235,162068651
2236,92482012
2244,183421285
2253,95059220
2260,253690596
2262,30519870
