,Name,IsFree,Metacritic,PCMinReqsText,PriceFinal,ReleaseDate,DLCCount
2650,Call of Duty(r): Ghosts - Digital Hardened Edition,False,0,Minimum:OS: Windows 7 64-Bit / Windows 8 64-BitProcessor: Intel(r) Core(tm) 2 Duo E8200 2.66 GHZ / AMD Phenom(tm) X3 8750 2.4 GHZ or betterMemory: 6 GB RAMGraphics: NVIDIA(r) GeForce(tm) GTS 450 / ATI(r) Radeon(tm) HD 5870 or betterDirectX: Version 11Network: Broadband Internet connectionStorage: 40 GB available spaceSound Card: DirectX(r) compatible sound cardAdditional Notes: Broadband connection and service required for Multiplayer Connectivity. Internet connection required for activation.,99.99,Nov 4 2013,0
4671,Bitmap2Material 3,False,0,Minimum:OS: Vista / 7 / 8Processor: X86 with SSE2Memory: 2 GB RAMGraphics: 512 MBDirectX: Version 9.0Storage: 100 MB available space,99.99,Sep 30 2014,1
11921,Samplitude Music Studio Steam Edition,False,0,Minimum:OS: Microsoft Windows 7 | 8 | 8.1| 10Processor: 2 GHzMemory: 2 GB RAMGraphics: Onboard minimum resolution 1280 x 768Storage: 10 GB available spaceSound Card: OnboardAdditional Notes: Internet connection: Required for registering and validating the program as well as for some program features. Program requires one-time registration.,99.99,Sep 20 2016,0
2449,Clickteam Fusion 2.5,False,0,Minimum:OS: Minimum Windows XP SP3 Operating System. Supports Vista 7 and 8Processor: 200 Mhz Pentium processor or higherMemory: 256 MB RAMGraphics: Must support minimum of Direct3D 9Sound Card: Additional Notes: Broadband Internet connection,99.99,Dec 5 2013,6
3156,Punch! ViaCAD 2D/3D v9 + 3D Printing PowerPack LT,False,0,Minimum:OS: Windows Vista(r) Windows(r) 7 Windows(r) 8 Windows(r) 10Processor: Intel(r) Pentium(r) or AMD(r) Athlon(tm) class processorMemory: 4 GB RAMGraphics: OpenGL/DirectX9 compliant video card with 256MB of dedicated RAMDirectX: Version 9.0cStorage: 4 GB available spaceSound Card: DirectX(r) compatible sound card,99.99,Jul 13 2016,1
9292,CyberLink PowerDVD 16 Ultra,False,0,Minimum:OS: Microsoft Windows 10 8.1/8 7Processor: Intel Core 2 Duo 2.66GHz AMD Phenom 2.10GHzMemory: 2 GB RAMGraphics: ATI/AMD: Radeon HD 5000Storage: 500 MB available space,99.99,May 24 2016,0
2616,Aartform Curvy 3D 3.0,False,0,Minimum:OS: WinXPProcessor: 1.0 GHz CPUMemory: 256 MB RAMGraphics: DirectX 8.0 compatible 3D Graphics CardDirectX: Version 9.0cStorage: 100 MB available space,99.99,Nov 12 2013,0
7105,MAGIX Music Maker 2016 Live,False,0,Minimum:OS: Microsoft Windows  Vista | 7 | 8 | 8.1| 10Processor: 2 GHzMemory: 2 GB RAMGraphics: Onboard min. resolution 1280 x 768Storage: 9 GB available spaceSound Card: OnboardAdditional Notes: Supported import formats: Audio CD WAV MP3 OGG Vorbis WMA Quick Time MIDI FLAC Image: JPG BMP Video: AVI MXV WMV / Supported export formats: Audio CD WAV MP3 OGG Vorbis WMA Quick Time MIDI FLAC Image: JPG BMP Video: AVI MXV WMV Note: Only non copy-protected audio CDs can be imported.,99.99,Oct 19 2015,0
10163,Web Designer 12 Premium,False,0,Minimum:OS: Windows Vista | 7 | 8 | 8.1 | 10Processor: 700 MHzMemory: 512 MB RAMStorage: 107 MB available spaceAdditional Notes: Supported formats Import:  JPEG BMP PNG TIFF PSD HTML PDF HTM WMF RTF SVG Word ODP (Open Office) PPTX (Power Point) RAW MPEG-4 SWF H.264 with automatic embeddingdegas video player etc. Export: HTML HTM JPEG PNG SWF (animated) GIF WMF SVG FLV PSD etc.,99.99,Jul 20 2016,0
1047,Serious Sam Classic: The Second Encounter,False,85,MinimumOS: Windows 95 OSR2 Windows 98 Windows 98SE Windows ME Windows NT 4.0 (with Service Pack 5) Windows 2000 Windows XP Windows Vista or Windows 7 operating systemProcessor: AMD K6-3 400MHz Pentium II or Celeron-A 300MHzMemory: 64MBGraphics: full OpenGL compliant 3D acceleratorHard Drive: 450MB free hard disk spaceSound: 100% Windows compatible sound card,99.99,Sep 22 2010,0
2548,Leadwerks Game Engine,False,0,Minimum:OS: Windows Vista 7 8 8.1 or 10Processor: 2.0 ghz dual coreMemory: 2 GB RAMGraphics: Nvidia AMD or Intel OpenGL 4.0 / DirectX 11 graphics.DirectX: Version 11Storage: 2 GB available spaceAdditional Notes: Non-English characters including Cyrillic in the user path are not supported.,99.99,Jan 6 2014,6
8900,CyberLink PowerDirector 14 Ultimate,False,0,Minimum:OS: Microsoft Windows 10 8/8.1 7 Vista (SP2)Processor: AVI Capture/Produce: Profiles: Pentium 4 3.0 Ghz or AMD Athlon 64 X2Memory: 2 GB RAMGraphics: 128 MB VGA VRAM or higherStorage: 10 GB available space,99.99,Apr 1 2016,0
6849,SONAR Steam Edition,False,0,Minimum:OS: Windows 7 8 or 10 (32- or 64-bit)Processor: 2.6GHz Intel or AMD multi-core processorMemory: 4 GB RAMGraphics: 1280x800 (1920 x 1080+ recommended)Storage: 12 GB available spaceSound Card: WDM/KS WASAPI or MME compatible deviceAdditional Notes: Connection required for downloads activation and publishing features.,99.99,Apr 29 2016,22
